telemetry_id,timestamp,vehicle_id,speed_kmh,accel_m_s2,event,lat,lon,heading_deg
T000001,2025-09-22T14:00:00,V002,56.48,0.032,normal,52.370514,4.895287,2.97
T000002,2025-09-22T14:00:20,V002,59.64,-0.319,normal,52.370494,4.895555,6.75
T000003,2025-09-22T14:00:40,V002,61.14,-0.237,normal,52.37066,4.89585,7.28
T000004,2025-09-22T14:01:00,V002,67.98,-0.232,normal,52.370722,4.895882,7.71
T000005,2025-09-22T14:01:20,V002,58.32,-0.475,normal,52.370724,4.896067,5.21
T000006,2025-09-22T14:01:40,V002,59.6,0.159,normal,52.370851,4.896304,7.23
T000007,2025-09-22T14:02:00,V002,51.01,-0.315,normal,52.370663,4.896193,8.27
T000008,2025-09-22T14:02:20,V002,50.66,0.097,normal,52.370569,4.896202,5.51
T000009,2025-09-22T14:02:40,V002,71.39,-0.079,normal,52.370569,4.896538,4.33
T000010,2025-09-22T14:03:00,V002,78.97,-0.021,normal,52.370485,4.896572,3.86
T000011,2025-09-22T14:03:20,V002,55.58,0.278,lane_change,52.370477,4.896291,2.68
T000012,2025-09-22T14:03:40,V002,64.51,-0.271,normal,52.370612,4.896346,358.59
T000013,2025-09-22T14:04:00,V002,45.68,0.319,normal,52.370676,4.896551,0.69
T000014,2025-09-22T14:04:20,V002,55.09,0.784,normal,52.370859,4.896622,359.95
T000015,2025-09-22T14:04:40,V002,54.64,0.172,normal,52.370928,4.896778,0.0
T000016,2025-09-22T14:05:00,V002,78.29,-0.391,normal,52.371077,4.89696,358.27
T000017,2025-09-22T14:05:20,V002,63.88,-0.308,normal,52.371121,4.896988,359.69
T000018,2025-09-22T14:05:40,V002,43.28,-0.124,normal,52.371112,4.896995,0.29
T000019,2025-09-22T14:06:00,V002,33.86,-0.297,normal,52.37131,4.897084,3.93
T000020,2025-09-22T14:06:20,V002,47.47,-0.496,normal,52.371289,4.897175,5.37
T000021,2025-09-22T14:06:40,V002,62.07,0.077,normal,52.371374,4.897252,4.76
T000022,2025-09-22T14:07:00,V002,63.89,-0.111,normal,52.3715,4.897333,2.54
T000023,2025-09-22T14:07:20,V002,68.95,0.095,normal,52.371635,4.897313,5.14
T000024,2025-09-22T14:07:40,V002,37.96,0.593,normal,52.371568,4.897473,4.29
T000025,2025-09-22T14:08:00,V002,66.77,-0.118,normal,52.371723,4.897615,3.78
T000026,2025-09-22T14:08:20,V002,60.31,-0.593,normal,52.371675,4.897525,3.26
T000027,2025-09-22T14:08:40,V002,65.68,-0.199,normal,52.371806,4.897548,2.06
T000028,2025-09-22T14:09:00,V002,67.91,0.385,normal,52.37191,4.897629,1.59
T000029,2025-09-22T14:09:20,V002,88.09,0.338,normal,52.372042,4.897635,7.37
T000030,2025-09-22T14:09:40,V002,91.43,2.064,hard_accel,52.371971,4.897782,4.23
T000031,2025-09-22T14:10:00,V002,61.16,-0.312,normal,52.37208,4.897844,1.78
T000032,2025-09-22T14:10:20,V002,65.03,0.376,normal,52.372239,4.897934,5.94
T000033,2025-09-22T14:10:40,V002,48.56,0.488,normal,52.372308,4.897956,4.81
T000034,2025-09-22T14:11:00,V002,47.43,-0.348,normal,52.372276,4.897787,3.46
T000035,2025-09-22T14:11:20,V002,37.49,-0.021,normal,52.372418,4.897611,6.56
T000036,2025-09-22T14:11:40,V002,43.6,1.01,normal,52.372479,4.897751,2.3
T000037,2025-09-22T14:12:00,V002,67.64,-0.37,normal,52.372362,4.897853,4.77
T000038,2025-09-22T14:12:20,V002,49.12,-0.853,normal,52.372322,4.897976,4.91
T000039,2025-09-22T14:12:40,V002,65.71,0.691,normal,52.37232,4.898062,6.3
T000040,2025-09-22T14:13:00,V002,75.64,0.568,normal,52.37252,4.898158,7.64
T000041,2025-09-22T14:13:20,V002,62.54,-0.228,normal,52.372703,4.898344,5.75
T000042,2025-09-22T14:13:40,V002,67.16,-0.056,normal,52.372886,4.898468,8.91
T000043,2025-09-22T14:14:00,V002,67.47,1.546,hard_accel,52.372959,4.898662,7.26
T000044,2025-09-22T14:14:20,V002,58.66,0.044,normal,52.373101,4.898753,8.48
T000045,2025-09-22T14:14:40,V002,77.63,0.583,normal,52.373037,4.898787,12.2
T000046,2025-09-22T14:15:00,V002,46.51,-0.271,normal,52.373087,4.89888,16.33
T000047,2025-09-22T14:15:20,V002,71.4,0.439,normal,52.373182,4.89885,15.53
T000048,2025-09-22T14:15:40,V002,55.44,-3.728,hard_brake,52.373125,4.898874,16.92
T000049,2025-09-22T14:16:00,V002,65.49,0.289,normal,52.373196,4.898966,15.84
T000050,2025-09-22T14:16:20,V002,39.79,-0.242,normal,52.373415,4.899055,23.35
T000051,2025-09-22T14:16:40,V002,63.92,-0.177,normal,52.373521,4.899113,25.69
T000052,2025-09-22T14:17:00,V002,59.03,-0.923,normal,52.373662,4.899016,25.95
T000053,2025-09-22T14:17:20,V002,65.61,-0.283,normal,52.373467,4.899162,26.88
T000054,2025-09-22T14:17:40,V002,75.21,2.185,hard_accel,52.373673,4.899333,28.11
T000055,2025-09-22T14:18:00,V002,50.64,-0.465,normal,52.373704,4.8996,29.42
T000056,2025-09-22T14:18:20,V002,49.87,-0.39,normal,52.373677,4.899723,28.7
T000057,2025-09-22T14:18:40,V002,58.19,0.32,normal,52.37371,4.899793,27.51
T000058,2025-09-22T14:19:00,V002,48.41,0.201,normal,52.373611,4.899741,27.06
T000059,2025-09-22T14:19:20,V002,61.81,0.345,normal,52.373766,4.89999,23.64
T000060,2025-09-22T14:19:40,V002,58.64,-0.582,normal,52.373783,4.90009,25.79
T000061,2025-09-22T14:20:00,V002,91.6,1.282,normal,52.373759,4.900183,23.39
T000062,2025-09-22T14:20:20,V002,47.7,-0.608,normal,52.373792,4.900223,20.21
T000063,2025-09-22T14:20:40,V002,50.62,0.077,normal,52.373954,4.900255,20.17
T000064,2025-09-22T14:21:00,V002,65.09,-0.079,normal,52.374017,4.900407,19.77
T000065,2025-09-22T14:21:20,V002,70.47,-0.593,normal,52.373926,4.900355,20.52
T000066,2025-09-22T14:21:40,V002,87.45,-0.185,normal,52.374022,4.90062,18.82
T000067,2025-09-22T14:22:00,V002,79.48,0.012,normal,52.37398,4.900859,17.64
T000068,2025-09-22T14:22:20,V002,69.88,-0.325,normal,52.373814,4.900886,19.72
T000069,2025-09-22T14:22:40,V002,63.52,0.469,normal,52.374014,4.900853,21.61
T000070,2025-09-22T14:23:00,V002,70.76,-0.081,normal,52.374109,4.900681,23.38
T000071,2025-09-22T14:23:20,V002,52.68,-0.671,lane_change,52.374151,4.900601,23.48
T000072,2025-09-22T14:23:40,V002,56.21,-0.713,normal,52.374167,4.900758,23.99
T000073,2025-09-22T14:24:00,V002,42.21,0.303,normal,52.374357,4.900866,24.68
